time,E_batt_to_cons,E_genset_to_batt,E_genset_to_cons,E_pv_to_batt,E_pv_to_cons,asset_name
2021-01-24T11:15:00Z,,,,0.0703125,0.2294921875,PG - Ighombwe
2021-01-24T11:30:00Z,,,,0.060546875,0.2490234375,PG - Ighombwe
2021-01-24T11:45:00Z,,,,0.0693359375,0.220703125,PG - Ighombwe
2021-01-24T12:00:00Z,,,,0.0703125,0.2490234375,PG - Ighombwe
2021-01-24T12:15:00Z,,,,0.0703125,0.2509765625,PG - Ighombwe
2021-01-24T12:30:00Z,,,,0.0595703125,0.26953125,PG - Ighombwe
2021-01-24T12:45:00Z,0.0205078125,,,0.01953125,0.2607421875,PG - Ighombwe
2021-01-24T13:00:00Z,,,,0.0107421875,0.2685546875,PG - Ighombwe
2021-01-24T13:15:00Z,,,,,0.2705078125,PG - Ighombwe
2021-01-24T13:30:00Z,,,,0.009765625,0.25,PG - Ighombwe
2021-01-24T13:45:00Z,0.009765625,,,0.009765625,0.2509765625,PG - Ighombwe
2021-01-24T14:00:00Z,0.0302734375,,,0.0302734375,0.2392578125,PG - Ighombwe
2021-01-24T14:15:00Z,0.01953125,,,0.0595703125,0.240234375,PG - Ighombwe
2021-01-24T14:30:00Z,0.150390625,,,,0.1103515625,PG - Ighombwe
2021-01-24T14:45:00Z,0.1796875,,,,0.08984375,PG - Ighombwe
2021-01-24T15:00:00Z,0.220703125,,,,0.060546875,PG - Ighombwe
2021-01-24T15:15:00Z,0.2392578125,,,,0.029296875,PG - Ighombwe
2021-01-24T15:30:00Z,0.150390625,,,,0.01953125,PG - Ighombwe
2021-01-24T15:45:00Z,0.099609375,,,,,PG - Ighombwe
2021-01-24T16:00:00Z,0.0703125,,,,,PG - Ighombwe
2021-01-24T16:30:00Z,0.0302734375,,,,,PG - Ighombwe
2021-01-24T16:45:00Z,0.1201171875,,,,,PG - Ighombwe
2021-01-24T17:00:00Z,0.2197265625,,,,,PG - Ighombwe
2021-01-24T17:15:00Z,0.259765625,,,,,PG - Ighombwe
2021-01-24T17:30:00Z,0.2705078125,,,,,PG - Ighombwe
2021-01-24T17:45:00Z,0.099609375,,,,,PG - Ighombwe
2021-01-24T18:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T18:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T19:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-24T19:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T20:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T20:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T21:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-24T22:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T22:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T23:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-24T23:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T00:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T00:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T01:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T02:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T02:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T03:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T03:45:00Z,,,,,0.0107421875,PG - Ighombwe
2021-01-25T04:00:00Z,,,,0.0107421875,,PG - Ighombwe
2021-01-25T04:15:00Z,,,,0.01953125,0.009765625,PG - Ighombwe
2021-01-25T04:30:00Z,,,,0.0205078125,0.0185546875,PG - Ighombwe
2021-01-25T04:45:00Z,,,,0.029296875,0.01171875,PG - Ighombwe
2021-01-25T05:00:00Z,,,,0.0400390625,0.0302734375,PG - Ighombwe
2021-01-25T05:15:00Z,,,,0.0498046875,0.01953125,PG - Ighombwe
2021-01-25T05:30:00Z,,,,0.080078125,0.009765625,PG - Ighombwe
2021-01-25T05:45:00Z,,,,0.1005859375,0.01953125,PG - Ighombwe
2021-01-25T06:00:00Z,,,,0.16015625,0.009765625,PG - Ighombwe
2021-01-25T06:15:00Z,,,,0.19921875,0.03125,PG - Ighombwe
2021-01-25T06:30:00Z,,,,0.30078125,0.0283203125,PG - Ighombwe
2021-01-25T06:45:00Z,,,,0.349609375,0.0302734375,PG - Ighombwe
2021-01-25T07:00:00Z,,,,0.330078125,0.08984375,PG - Ighombwe
2021-01-25T07:15:00Z,0.009765625,,,0.2197265625,0.2109375,PG - Ighombwe
2021-01-25T07:30:00Z,0.0302734375,,,0.1005859375,0.189453125,PG - Ighombwe
2021-01-25T07:45:00Z,0.009765625,,,0.2197265625,0.240234375,PG - Ighombwe
2021-01-25T08:00:00Z,0.009765625,,,0.1103515625,0.2099609375,PG - Ighombwe
2021-01-25T08:15:00Z,,,,0.19921875,0.23046875,PG - Ighombwe
2021-01-25T08:30:00Z,,,,0.140625,0.19921875,PG - Ighombwe
2021-01-25T08:45:00Z,,,,0.0693359375,0.1904296875,PG - Ighombwe
2021-01-25T09:00:00Z,,,,0.1298828125,0.2001953125,PG - Ighombwe
2021-01-25T09:15:00Z,0.05078125,,,0.1103515625,0.21875,PG - Ighombwe
2021-01-25T09:30:00Z,0.01953125,,,0.08984375,0.2314453125,PG - Ighombwe
2021-01-25T09:45:00Z,,,,0.060546875,0.21875,PG - Ighombwe
2021-01-25T10:00:00Z,,,,0.08984375,0.3203125,PG - Ighombwe
2021-01-25T10:15:00Z,0.009765625,,,0.08984375,0.3896484375,PG - Ighombwe
2021-01-25T10:30:00Z,0.0107421875,,,0.080078125,0.400390625,PG - Ighombwe
2021-01-25T10:45:00Z,0.029296875,,,0.08984375,0.4404296875,PG - Ighombwe
2021-01-25T11:00:00Z,0.0107421875,,,0.0703125,0.46875,PG - Ighombwe
2021-01-25T11:15:00Z,0.080078125,,,0.0498046875,0.48046875,PG - Ighombwe
2021-01-25T11:30:00Z,0.26953125,,,,0.1806640625,PG - Ighombwe
2021-01-25T11:45:00Z,0.0302734375,,,0.2294921875,0.400390625,PG - Ighombwe
2021-01-25T12:00:00Z,0.0400390625,,,0.1708984375,0.4287109375,PG - Ighombwe
2021-01-25T12:15:00Z,0.25,,,0.009765625,0.2109375,PG - Ighombwe
2021-01-25T12:30:00Z,0.080078125,,,0.1494140625,0.3095703125,PG - Ighombwe
2021-01-25T12:45:00Z,0.109375,,,0.0205078125,0.080078125,PG - Ighombwe
2021-01-25T13:00:00Z,0.150390625,,,,,PG - Ighombwe
2021-01-25T13:15:00Z,0.1396484375,,,,0.0205078125,PG - Ighombwe
2021-01-25T13:30:00Z,0.169921875,,,,,PG - Ighombwe
2021-01-25T13:45:00Z,0.1806640625,,,,0.01953125,PG - Ighombwe
2021-01-25T14:00:00Z,0.169921875,,,,0.01953125,PG - Ighombwe
2021-01-25T14:15:00Z,0.2099609375,,,,0.0205078125,PG - Ighombwe
2021-01-25T14:30:00Z,0.2392578125,,,,0.0107421875,PG - Ighombwe
2021-01-25T14:45:00Z,0.2607421875,,,,0.009765625,PG - Ighombwe
2021-01-25T15:00:00Z,0.2392578125,,,,,PG - Ighombwe
2021-01-25T15:15:00Z,0.23046875,,,,,PG - Ighombwe
2021-01-25T15:30:00Z,0.0498046875,,,,,PG - Ighombwe
2021-01-25T15:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T16:15:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T17:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T17:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T18:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T18:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T19:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T19:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T20:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T21:00:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-25T21:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T22:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T22:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-25T23:30:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-26T00:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T00:45:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T01:15:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T01:45:00Z,0.0107421875,,,,,PG - Ighombwe
2021-01-26T02:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T03:00:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T03:30:00Z,0.009765625,,,,,PG - Ighombwe
2021-01-26T04:15:00Z,,,,0.009765625,0.009765625,PG - Ighombwe
2021-01-26T04:30:00Z,,,,0.0302734375,0.009765625,PG - Ighombwe
2021-01-26T04:45:00Z,,,,0.0595703125,0.01953125,PG - Ighombwe
2021-01-26T05:00:00Z,,,,0.08984375,0.0205078125,PG - Ighombwe
2021-01-26T05:15:00Z,,,,0.080078125,0.01953125,PG - Ighombwe
2021-01-26T05:30:00Z,,,,0.0703125,0.009765625,PG - Ighombwe
2021-01-26T05:45:00Z,,,,0.1103515625,0.0205078125,PG - Ighombwe
2021-01-26T06:00:00Z,,,,0.1494140625,0.0205078125,PG - Ighombwe
2021-01-26T06:15:00Z,,,,0.2099609375,0.01953125,PG - Ighombwe
2021-01-26T06:30:00Z,,,,0.30078125,0.0302734375,PG - Ighombwe
2021-01-26T06:45:00Z,,,,0.169921875,0.029296875,PG - Ighombwe
2021-01-26T07:00:00Z,,,,0.2099609375,0.0205078125,PG - Ighombwe
2021-01-26T07:15:00Z,,,,0.2392578125,0.0302734375,PG - Ighombwe
2021-01-26T07:30:00Z,,,,0.2802734375,0.01953125,PG - Ighombwe
2021-01-26T07:45:00Z,,,,0.2900390625,0.0302734375,PG - Ighombwe
2021-01-26T08:00:00Z,,,,0.259765625,0.0400390625,PG - Ighombwe
2021-01-26T08:15:00Z,,,,0.1904296875,0.150390625,PG - Ighombwe
2021-01-26T08:30:00Z,0.009765625,,,0.189453125,0.25,PG - Ighombwe
2021-01-26T08:45:00Z,0.0302734375,,,0.1708984375,0.3896484375,PG - Ighombwe
2021-01-26T09:00:00Z,0.0302734375,,,0.1494140625,0.390625,PG - Ighombwe
2021-01-26T09:15:00Z,0.01953125,,,0.1298828125,0.359375,PG - Ighombwe
2021-01-26T09:30:00Z,0.0302734375,,,0.1201171875,0.390625,PG - Ighombwe
2021-01-26T09:45:00Z,0.0400390625,,,0.1201171875,0.359375,PG - Ighombwe
2021-01-26T10:00:00Z,0.0205078125,,,0.1103515625,0.359375,PG - Ighombwe
2021-01-26T10:15:00Z,,,,0.080078125,0.3203125,PG - Ighombwe
2021-01-26T10:30:00Z,,,,0.0791015625,0.3408203125,PG - Ighombwe
2021-01-26T10:45:00Z,0.009765625,,,0.080078125,0.349609375,PG - Ighombwe
2021-01-26T11:00:00Z,0.0400390625,,,0.080078125,0.5205078125,PG - Ighombwe
